"time","p01","estimator"
870.05,0.0375188543086147,"Semi"
870.85,0.0375188543086147,"Semi"
871.65,0.0375188543086147,"Semi"
872.45,0.0375188543086147,"Semi"
873.25,0.0375188543086147,"Semi"
874.05,0.0375188543086147,"Semi"
874.85,0.0375188543086147,"Semi"
875.65,0.0375188543086147,"Semi"
876.45,0.0375188543086147,"Semi"
877.25,0.0375188543086147,"Semi"
878.05,0.0375188543086147,"Semi"
878.85,0.0375188543086147,"Semi"
879.65,0.0375188543086147,"Semi"
880.45,0.0375188543086147,"Semi"
881.25,0.0373198545143768,"Semi"
882.05,0.0373198545143768,"Semi"
882.85,0.0373198545143768,"Semi"
883.65,0.0373198545143768,"Semi"
884.45,0.0373198545143768,"Semi"
885.25,0.0373198545143768,"Semi"
886.05,0.0373198545143768,"Semi"
886.85,0.0373198545143768,"Semi"
887.65,0.0373198545143768,"Semi"
888.45,0.0373198545143768,"Semi"
889.25,0.0373198545143768,"Semi"
890.05,0.0373198545143768,"Semi"
890.85,0.0373198545143768,"Semi"
891.65,0.0373198545143768,"Semi"
892.45,0.0373198545143768,"Semi"
893.25,0.0373198545143768,"Semi"
894.05,0.0369839839155374,"Semi"
894.85,0.0369839839155374,"Semi"
895.65,0.0369839839155374,"Semi"
